Date,Total Revenue,DA Revenue,RT Revenue,Final SOC
2024-06-01,462.16244140749586,-3075.0653019721744,3537.2277433796703,0.41381372355717166
2024-06-02,4095.633463071097,10470.02632683373,-6374.392863762632,0.10003154851123255
2024-06-03,3085.585867689158,6708.8883188311,-3623.302451141942,0.10000366326068598
2024-06-04,12621.923815552425,9969.931725106417,2651.9920904460078,0.10000397394696545
2024-06-05,9396.374647984047,5897.281507661302,3499.0931403227437,0.10004206055243599
2024-06-06,14130.558780954803,13809.932518332593,320.62626262221124,0.10000064986684191
2024-06-07,7421.39791304103,18613.667582197595,-11192.269669156565,0.10000163813931444
2024-06-08,3185.8638245708225,8711.00008958681,-5525.136265015988,0.10000018058842484
2024-06-09,6003.226392458251,9622.9547161308,-3619.7283236725493,0.10000001839669337
2024-06-10,10025.536516791615,588.2555926900047,9437.280924101611,0.27638953327826893
2024-06-11,13175.845265918953,-1857.569719155068,15033.414985074021,0.23568108500556137
2024-06-12,8648.461684283184,1347.990294650464,7300.471389632719,0.10000242205713658
2024-06-13,7461.439355522423,613.5895677706428,6847.84978775178,0.10000173358039409
2024-06-14,7280.76269913103,7586.766080360256,-306.0033812292263,0.10000050849886696
2024-06-15,4782.521036190987,1414.0709552535886,3368.4500809373985,0.10000417074008651
2024-06-16,2073.642286869566,63.20631160245546,2010.4359752671103,0.10000456582255252
2024-06-17,1031.8761112533857,8330.426670207149,-7298.550558953763,0.10000016318758546
2024-06-18,2076.253999538531,1978.0000196319506,98.2539799065803,0.10000034289081944
2024-06-19,282.6267021509607,1107.2186624693734,-824.5919603184127,0.10001067123831447
2024-06-20,2938.3238849772833,1548.654054999432,1389.6698299778514,0.1000017674049529
2024-06-21,2084.0040021106706,2088.938031846056,-4.93402973538565,0.1000011681387735
2024-06-22,5188.10366224419,11293.250110894827,-6105.1464486506375,0.10000133012433085
2024-06-23,15214.457936627543,24367.165542034578,-9152.707605407035,0.10000013186316767
2024-06-24,12433.220189677302,24494.40950288457,-12061.189313207267,0.10000056150779188
2024-06-25,5934.4785580262305,16119.583289521008,-10185.104731494777,0.10000031575836855
2024-06-26,12354.538921687807,15784.750156508671,-3430.211234820865,0.10000044450281065
2024-06-27,4166.469039737293,9005.790165340735,-4839.321125603442,0.10000008344095963
2024-06-28,1347.1529011506527,2319.1718213189524,-972.0189201682997,0.10000040983908835
2024-06-29,1386.22286721102,-2156.000028328946,3542.222895539966,0.1000063599104301
2024-06-30,886.8751006811854,3912.2520287502,-3025.376928069015,0.10002569369122248
2024-07-01,1165.8995023286407,-6506.088280841246,7671.987783169887,0.10000068697757958
2024-07-02,3196.207673481196,5668.250055957056,-2472.0423824758604,0.10000303123502143
2024-07-03,1579.9667081513935,5761.929038593915,-4181.962330442521,0.10000893407708694
2024-07-04,4642.410011443635,9655.750095391504,-5013.340083947869,0.10000028735452789
2024-07-05,3840.757582281382,5231.494642026115,-1390.737059744733,0.10001623287312533
2024-07-06,19803.29030828453,-820.8425376178709,20624.1328459024,0.10000682011425728
2024-07-07,3015.966423397109,10189.750101392465,-7173.783677995356,0.10000314221269764
2024-07-08,3447.0500464511656,3677.6881456326,-230.63809918143426,0.10000202411077715
2024-07-09,8777.705695381628,18786.000186114245,-10008.294490732616,0.10000108037930094
2024-07-10,557.7400065960238,864.1111263778998,-306.371119781876,0.10000990008841869
2024-07-11,5456.802574078208,9697.500096629974,-4240.697522551766,0.10000038244116333
2024-07-12,2955.3969705990294,5175.250051885725,-2219.8530812866957,0.10000040883588593
2024-07-13,2059.7787846989268,5830.500057906153,-3770.7212732072267,0.10000122487347247
2024-07-14,1714.2284361419488,9136.51892618515,-7422.290490043201,0.10000068942420948
2024-07-15,1488.5408084560077,7925.00007796315,-6436.459269507142,0.10000069366046363
2024-07-16,2178.7894803726867,-7572.175621866572,9750.965102239259,0.10000225422238979
2024-07-17,-2506.6964130986025,-4741.937764324878,2235.2413512262756,0.7868897227550247
2024-07-18,7214.018563831792,-854.5000082828723,8068.518572114664,0.10000411392133753
2024-07-19,4932.216222923298,7397.500073862433,-2465.283850939135,0.10000303703091523
2024-07-20,-240.25093120290012,-1988.2500200547045,1747.9990888518043,0.6873455256541222
2024-07-21,3644.7832771226163,7199.500074017913,-3554.7167968952967,0.35809335178394175
2024-07-22,1499.7436228808097,4869.250049631211,-3369.5064267504017,0.10000009927675202
2024-07-23,1581.4707118250035,8376.750079445526,-6795.279367620523,0.10000644041360549
2024-07-24,6945.139744696622,2747.418050107874,4197.7216945887485,0.1000038763390811
2024-07-25,4300.1637082418,-5558.831096780803,9858.994805022603,0.10002073845798318
2024-07-26,541.8756365817317,-9995.363601890283,10537.239238472015,0.10000280032755171
2024-07-27,708.7923596383007,-10484.25010400136,11193.04246363966,0.10000518967332996
2024-07-28,3128.259653704875,898.2847996901728,2229.974854014702,0.10000477180062578
2024-07-29,2958.1467264766698,2910.750029141653,47.3966973350166,0.10000233620041522
2024-07-30,2103.2157584292654,-2306.4757598713295,4409.691518300595,0.10000505108972019
2024-07-31,433.09882896878935,-3461.750034549481,3894.8488635182703,0.10000339161912021
2024-08-01,2510.3818079763923,5022.2286883956795,-2511.846880419287,0.10000962478192273
2024-08-02,8989.434985425962,-2187.250019630336,11176.685005056297,0.11052321928038629
2024-08-03,4263.910847654111,3798.8800214059147,465.0308262481965,0.3036016395014085
2024-08-04,3980.47639966502,11029.735826856057,-7049.259427191037,0.10000085542824108
2024-08-05,5694.327249561764,6751.750068411541,-1057.4228188497768,0.10000276520866809
